web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665084100-778","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Roerbakgroente Hollands","https://www.ah.nl/producten/product/wi41084/ah-roerbakgroente-hollands","2.49","105 kJ (25 kcal)","Vet0.2 g","Koolhydraten3.3 g","null","Eiwitten1.3 g"
"1665084102-779","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Mango","https://www.ah.nl/producten/product/wi209868/ah-mango","2.50","213 kJ (50 kcal)","Vet0.6 g","Koolhydraten10 g","null","Eiwitten0.7 g"
"1665084104-780","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Boerenkool grootverpakking","https://www.ah.nl/producten/product/wi160718/ah-boerenkool-grootverpakking","2.29","138 kJ (33 kcal)","Vet0.6 g","Koolhydraten1.6 g","null","Eiwitten3 g"
"1665084107-781","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Portugese kip piri piri verspakket","https://www.ah.nl/producten/product/wi520798/ah-portugese-kip-piri-piri-verspakket","4.99","466 kJ (111 kcal)","Vet3.5 g","Koolhydraten14 g","null","Eiwitten5.2 g"
"1665084109-782","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Peterselie","https://www.ah.nl/producten/product/wi238970/ah-peterselie","1.19","125 kJ (30 kcal)","Vet0 g","Koolhydraten1 g","null","Eiwitten4 g"
"1665084112-783","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Doosje met mangostukjes","https://www.ah.nl/producten/product/wi164070/ah-doosje-met-mangostukjes","1.39","289 kJ (68 kcal)","Vet0.3 g","Koolhydraten15 g","null","Eiwitten0.5 g"
"1665084114-784","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Spinazie","https://www.ah.nl/producten/product/wi235203/ah-biologisch-spinazie","2.59","108 kJ (26 kcal)","Vet0.6 g","Koolhydraten0.9 g","null","Eiwitten3.2 g"
"1665084116-785","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Hak Doperwtjes extra fijn","https://www.ah.nl/producten/product/wi195104/hak-doperwtjes-extra-fijn","1.79","290 kJ (69 kcal)","Vet0 g","Koolhydraten11 g","null","Eiwitten4 g"
"1665084119-786","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Vastkokend aardappelen","https://www.ah.nl/producten/product/wi96050/ah-vastkokend-aardappelen","4.09","371 kJ (88 kcal)","Vet0 g","Koolhydraten19 g","null","Eiwitten2 g"
"1665084121-787","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Bieslook","https://www.ah.nl/producten/product/wi238965/ah-bieslook","1.19","259 kJ (62 kcal)","Vet1 g","Koolhydraten8 g","null","Eiwitten4 g"
"1665084124-788","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Indiase curry madras verspakket","https://www.ah.nl/producten/product/wi233440/ah-indiase-curry-madras-verspakket","5.29","497 kJ (118 kcal)","Vet3.8 g","Koolhydraten15 g","null","Eiwitten5.4 g"
"1665084130-789","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Prei","https://www.ah.nl/producten/product/wi395959/ah-prei","1.99","116 kJ (28 kcal)","Vet0.2 g","Koolhydraten3.5 g","null","Eiwitten1.5 g"
"1665084133-790","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Ananas","https://www.ah.nl/producten/product/wi382975/ah-ananas","2.19","null","null","null","null","null"
"1665084135-791","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Tauge","https://www.ah.nl/producten/product/wi41138/ah-tauge","1.00","201 kJ (48 kcal)","Vet1 g","Koolhydraten3 g","null","Eiwitten5 g"
"1665084137-792","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Elstar schaal","https://www.ah.nl/producten/product/wi444756/ah-elstar-schaal","2.19","250 kJ (59 kcal)","Vet0.2 g","Koolhydraten13 g","null","Eiwitten0.3 g"
"1665084140-793","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Fijne soepgroente grootverpakking","https://www.ah.nl/producten/product/wi160709/ah-fijne-soepgroente-grootverpakking","1.69","110 kJ (27 kcal)","Vet0.2 g","Koolhydraten4 g","null","Eiwitten1 g"
"1665084142-794","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Mini krieltjes kruidenboter","https://www.ah.nl/producten/product/wi475828/ah-mini-krieltjes-kruidenboter","0.89","340 kJ (80 kcal)","Vet0.02 g","Koolhydraten17 g","null","Eiwitten1.9 g"
"1665084144-795","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Munt","https://www.ah.nl/producten/product/wi238969/ah-munt","1.19","205 kJ (49 kcal)","Vet0.7 g","Koolhydraten5.1 g","null","Eiwitten3.8 g"
"1665084147-796","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Winterpeen","https://www.ah.nl/producten/product/wi165408/ah-biologisch-winterpeen","1.79","140 kJ (33 kcal)","Vet0.3 g","Koolhydraten5.5 g","null","Eiwitten0.6 g"
"1665084150-797","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Cherry tomaten","https://www.ah.nl/producten/product/wi67739/ah-biologisch-cherry-tomaten","1.99","128 kJ (31 kcal)","Vet0.8 g","Koolhydraten4 g","null","Eiwitten0.9 g"
"1665084152-798","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Chiquita banaan, voor de fruitschaal","https://www.ah.nl/producten/product/wi531203/chiquita-banaan-voor-de-fruitschaal","7.86","null","null","null","null","null"
"1665084154-799","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Wok thai groente","https://www.ah.nl/producten/product/wi67663/ah-wok-thai-groente","2.19","121 kJ (29 kcal)","Vet0.1 g","Koolhydraten4.1 g","null","Eiwitten1.5 g"
"1665084157-800","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Avocado net","https://www.ah.nl/producten/product/wi462427/ah-avocado-net","2.89","837 kJ (203 kcal)","Vet20 g","Koolhydraten1.8 g","null","Eiwitten1.9 g"
