web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665133737-847","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Luchtige crackers naturel 4-pack","https://www.ah.nl/producten/product/wi523171/ah-luchtige-crackers-naturel-4-pack","3.38","null","null","null","null","null"
"1665133739-848","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Meester & Zn. gerookt vlees pakket","https://www.ah.nl/producten/product/wi523149/meester-en-zn-gerookt-vlees-pakket","4.68","null","null","null","null","null"
"1665133741-849","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Streeckgenoten Gatenkaas","https://www.ah.nl/producten/product/wi518866/streeckgenoten-gatenkaas","5.13","1750 kJ (423 kcal)","Vet35 g","Koolhydraten22 g","Prijs per KG € 17,99","Eiwitten24 g"
"1665133744-850","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Mister Kitchen's Vegan uncheesed crackers pizza","https://www.ah.nl/producten/product/wi518064/mister-kitchen-s-vegan-uncheesed-crackers-pizza","3.29","1905 kJ (453 kcal)","Vet14.9 g","Koolhydraten65.3 g","Prijs per KG € 21,93","Eiwitten12.2 g"
"1665133746-851","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Jif Crunchy","https://www.ah.nl/producten/product/wi511067/jif-crunchy","4.49","2409 kJ (576 kcal)","Vet48.9 g","Koolhydraten24.2 g","Prijs per KG € 9,89","Eiwitten21.2 g"
"1665133748-852","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Raw Organic Food Cacao bites cashew","https://www.ah.nl/producten/product/wi371346/raw-organic-food-cacao-bites-cashew","4.29","1711 kJ (409 kcal)","Vet22 g","Koolhydraten48 g","Prijs per KG € 57,20","Eiwitten4.4 g"
"1665133751-853","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Faja Lobi Surinaamse pindakaas","https://www.ah.nl/producten/product/wi234769/faja-lobi-surinaamse-pindakaas","3.25","null","null","null","Prijs per LT € 9,03","null"
"1665133754-854","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Smaakt Lijnzaad gebroken","https://www.ah.nl/producten/product/wi227834/smaakt-lijnzaad-gebroken","2.99","1969 kJ (477 kcal)","Vet31 g","Koolhydraten13 g","Prijs per KG € 5,98","Eiwitten19 g"
"1665133756-855","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Raw Organic Food Hennep protein bio","https://www.ah.nl/producten/product/wi225010/raw-organic-food-hennep-protein-bio","4.55","1449 kJ (346 kcal)","Vet11 g","Koolhydraten3.5 g","Prijs per KG € 45,50","Eiwitten50 g"
"1665133759-856","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Volkorenkoek gesneden 4-pack","https://www.ah.nl/producten/product/wi523213/ah-volkorenkoek-gesneden-4-pack","6.04","null","null","null","null","null"
"1665133762-857","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Gevriesdroogde fruit mix","https://www.ah.nl/producten/product/wi520963/ah-gevriesdroogde-fruit-mix","2.99","1542 kJ (366 kcal)","Vet4.2 g","Koolhydraten67 g","Prijs per KG € 119,60","Eiwitten7.5 g"
"1665133764-858","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Excellent Truffel paté","https://www.ah.nl/producten/product/wi516125/ah-excellent-truffel-pate","2.99","1297 kJ (314 kcal)","Vet28 g","Koolhydraten5.5 g","Prijs per KG € 22,99","Eiwitten9.4 g"
"1665133766-859","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Mister Kitchen's Pindakaas sweet chili","https://www.ah.nl/producten/product/wi497551/mister-kitchen-s-pindakaas-sweet-chili","3.89","2291 kJ (636 kcal)","Vet45 g","Koolhydraten15.8 g","Prijs per KG € 12,97","Eiwitten24.6 g"
"1665133769-860","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Fairtrade Original Community Honey","https://www.ah.nl/producten/product/wi493624/fairtrade-original-community-honey","3.99","1369 kJ (325 kcal)","Vet0 g","Koolhydraten81 g","Prijs per LT € 15,96","Eiwitten0.4 g"
"1665133772-861","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Raw Organic Food Spirulinapoeder","https://www.ah.nl/producten/product/wi228017/raw-organic-food-spirulinapoeder","5.19","1421 kJ (335 kcal)","Vet1 g","Koolhydraten13 g","Prijs per KG € 29,66","Eiwitten66 g"
"1665133774-862","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Raw Organic Food Maca high energy poeder","https://www.ah.nl/producten/product/wi225018/raw-organic-food-maca-high-energy-poeder","5.19","1575 kJ (372 kcal)","Vet2 g","Koolhydraten71 g","Prijs per KG € 29,66","Eiwitten14 g"
"1665133777-863","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Johma salades lunch pakket","https://www.ah.nl/producten/product/wi526098/johma-salades-lunch-pakket","7.80","null","null","null","null","null"
"1665133779-864","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Biologisch Maiswafels met zeezout 4-pack","https://www.ah.nl/producten/product/wi521991/ah-biologisch-maiswafels-met-zeezout-4-pack","4.90","null","null","null","null","null"
"1665133782-865","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Goudse jong belegen 50+ stuk kleintje","https://www.ah.nl/producten/product/wi498747/ah-goudse-jong-belegen-50-stuk-kleintje","3.50","1683 kJ (406 kcal)","Vet34 g","Koolhydraten0 g","Prijs per KG € 14,40","Eiwitten25 g"
"1665133785-866","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Schär Salti","https://www.ah.nl/producten/product/wi494107/schar-salti","3.19","1861 kJ (442 kcal)","Vet13 g","Koolhydraten78 g","Prijs per KG € 18,23","Eiwitten2.3 g"
"1665133788-867","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Pernigotti Hazelnootpasta Crunchy","https://www.ah.nl/producten/product/wi489876/pernigotti-hazelnootpasta-crunchy","5.49","2217 kJ (531 kcal)","Vet31 g","Koolhydraten52 g","Prijs per KG € 15,69","Eiwitten10 g"
