,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
1087,John West Wilde roze zalm zonder vel en graat,5.99,100.0,,,20.4,3.5200000000000005,0.204
1088,John West Wilde rode zalm,3.99,151.0,7.8,,20.4,3.8,0.13509933774834437
1089,AH Vegetarische kipstukjes piri piri,2.69,153.0,4.7,12.0,15.0,1.49,0.09803921568627451
1090,AH Voor in de oven stoofvlees stroganoff,4.12,122.0,6.1,4.5,12.0,1.3699999999999999,0.09836065573770492
1091,Rio Mare Pate tonijn,3.29,237.0,18.0,,13.0,3.29,0.05485232067510549
1092,AH Vegan groente nuggets,2.29,196.0,8.7,21.0,4.7,1.27,0.023979591836734693
1093,AH Oven runder sukade,6.0,206.0,10.0,1.8,27.0,1.49,0.13106796116504854
1094,Fish Tales Ansjovispasta,1.91,121.0,4.9,1.1,18.0,4.55,0.1487603305785124
1095,AH Bearnaisesaus met puur geklaarde boter,2.19,340.0,35.0,5.3,0.6,1.15,0.001764705882352941
1096,The Frozen Butcher Wagyu burger,5.19,303.0,25.0,1.3,18.0,2.07,0.0594059405940594
1097,Ikbal Halal kippenbouten,3.99,222.0,16.0,,18.3,0.53,0.08243243243243244
1098,AH Vegan filetlapje gemarineerd,2.69,213.0,13.0,7.1,15.0,1.49,0.07042253521126761
1099,Oumph! Pulled bbq chunks,3.99,115.0,,11.0,14.0,1.42,0.12173913043478261
1100,AH Half-om-half gehakt,3.39,270.0,22.0,0.08,18.0,0.96,0.06666666666666667
1101,AH Excellent Lamskotelet gemarineerd,8.49,264.0,21.0,0.8,18.0,3.94,0.06818181818181818
1102,Efepasa Burcu Tavuk sosis (kip) knakworst,2.99,202.0,16.0,,13.5,1.19,0.06683168316831684
1103,AH Verse mosselen XL,14.99,96.0,,5.5,14.0,0.75,0.14583333333333334
1104,John West Sardines olie 2-pack,3.49,227.0,15.0,,23.0,1.45,0.1013215859030837
1105,Like meat Chicken filet,2.62,173.0,9.1,8.4,11.0,1.9300000000000002,0.06358381502890173
1106,AH Voor in de oven varkfiletrollade,8.32,113.0,3.4,0.6,20.0,1.1,0.17699115044247787
1107,Fish Tales Skipjack tonijn in water 2-pack,2.24,113.0,,,26.0,1.86,0.23008849557522124
1108,AH Flame roasted zalm,4.75,210.0,14.0,,21.0,4.75,0.1
1109,John West Sardines olie,1.99,227.0,15.0,,23.0,1.65,0.1013215859030837
1110,AH Tempeh burger,2.49,174.0,7.2,16.0,8.2,1.55,0.047126436781609195
1111,Streeckgenoten Hachee,4.49,128.0,,7.5,13.0,1.1199999999999999,0.1015625
1112,Fish Tales Skipjack in Biologische olijfolie,2.54,237.0,17.0,0.6,20.0,2.38,0.08438818565400844
