,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
0,AH Primeur aardappelen,2.99,88.0,,19.0,,0.19,
2,AH Vegan zeewiersalade wakame,2.39,105.0,5.2,11.0,1.5,2.3899999999999997,0.014285714285714285
3,Appelsientje Proef! sinaasappel mango kurkuma,1.89,41.0,,9.6,0.2,0.18,0.004878048780487805
4,AH Paddenstoelengehakt,2.49,29.0,0.1,4.3,2.5,0.8300000000000001,0.08620689655172414
5,AH Lunchsalade couscous falafel,3.79,147.0,9.6,10.0,3.7,1.24,0.025170068027210887
6,AH Biologisch Popcorn mais,1.99,374.0,,71.0,11.0,0.39,0.029411764705882353
7,Aarts Ananas bio,1.99,72.0,0.15,16.0,0.8,1.04,0.011111111111111112
8,AH Biologisch Fruit & pitten mix,3.29,440.0,20.0,53.0,8.9,1.09,0.02022727272727273
9,Hak Sperziebonen fijn gebroken,1.19,25.0,0.4,2.2,1.8,1.1300000000000001,0.07200000000000001
10,AH Rouges,2.99,88.0,,19.0,,0.19,
11,AH Kleine spruitjes,1.39,44.0,0.7,,2.5,0.27,0.056818181818181816
12,AH Mexicaanse kidneybonendip,2.75,145.0,8.5,10.0,5.2,1.83,0.03586206896551724
13,AH Verse smoothie aardbei blauwe bes appel,1.89,53.0,,11.0,2.1,0.75,0.03962264150943397
14,AH Gemarineerde artisjok,2.85,36.0,1.1,3.6,1.2,1.01,0.03333333333333333
17,Capri-Sun Squash multivitamin orange,3.49,1.4,,0.2,,0.33999999999999997,
18,AH Bonen spread met uienchutney,2.75,224.0,16.0,11.0,6.2,1.83,0.02767857142857143
19,AH Biologisch Gojibessen,5.19,295.0,3.5,43.0,13.0,2.96,0.04406779661016949
20,"AH Ananas, cantaloupe, watermeloen",4.0,43.0,0.09,9.4,0.6,0.72,0.013953488372093023
21,Verstegen Knoflookpoeder,1.69,,,,,3.75,
22,Hak Boerenkool,2.49,34.0,1.3,,2.7,0.53,0.07941176470588236
23,Souq Gekonfijte citroenen,2.19,19.0,0.3,,0.4,1.04,0.021052631578947368
24,AH Biologisch Rodekool met appeltjes,0.99,60.0,0.2,12.0,,0.19,
28,AH Wijnzuurkool gekookt,0.69,48.0,2.5,2.5,,0.27,
29,Hak Gesneden bonen met witte bonen,2.69,66.0,0.7,7.3,4.5,0.58,0.06818181818181818
30,AH Chia smoothie mango ananas spinazie,1.89,46.0,0.4,10.0,0.4,0.75,0.008695652173913044
32,AH Gegrilde paprikamix,2.79,38.0,0.2,7.1,0.9,1.1099999999999999,0.02368421052631579
34,"AH Verse ananas, mango, appel en druif",3.25,59.0,0.2,13.0,0.5,0.9,0.00847457627118644
35,Holyshot Ginger lemon,1.49,45.0,,11.0,0.6,2.48,0.013333333333333332
36,AH Gegrilde groentemix,2.79,37.0,0.3,5.4,1.5,1.1099999999999999,0.04054054054054054
37,AH Biologisch Oranje linzen kiemen,1.99,172.0,0.6,28.0,12.0,1.3199999999999998,0.06976744186046512
38,Moonpop Veggiez sea salt,1.99,396.0,9.6,63.3,9.3,2.34,0.023484848484848487
39,AH Biologisch Doperwten,1.99,68.0,,6.2,5.2,0.86,0.07647058823529412
40,Holyshot Ginger turmeric,1.49,50.0,,13.0,,2.48,
42,AH Zongerijpt watermeloen,2.5,35.0,0.2,7.6,0.6,1.1099999999999999,0.017142857142857144
43,Hak Rode Kool,2.09,38.0,,7.8,0.7,0.29,0.018421052631578946
44,Hak Witte bonen in tomatensaus,1.59,87.0,0.6,12.1,,0.8800000000000001,
45,AH Stamppotaardappelen,2.99,88.0,,19.0,,0.19,
46,Hak Haricots verts extra fijn,4.55,19.0,0.3,1.4,1.4,1.3,0.07368421052631578
47,AH Biologisch Cranberry's,4.49,330.0,,74.0,0.5,2.2399999999999998,0.0015151515151515152
48,AH Gegrilde artisjok in olie,2.75,107.0,5.7,11.0,1.2,1.52,0.011214953271028037
49,AH Gedroogde pruimen,2.99,250.0,0.3,56.0,2.4,1.3,0.0096
50,AH Krenten,1.85,329.0,0.3,74.0,,0.74,
54,AH Ovengroente koolraap zoete aardappel ui,3.39,47.0,0.2,9.2,0.9,0.5599999999999999,0.019148936170212766
55,AH Abrikoos gedroogd,2.29,236.0,0.1,56.0,0.6,1.2,0.002542372881355932
56,AH Gedroogde mango,2.99,318.0,,73.0,,1.9899999999999998,
57,Bieze 4 Seizoenen rauwkost,1.89,169.0,15.0,6.5,,0.75,
58,Del Monte Ananasschijven op siroop,1.35,71.0,,17.0,0.3,0.96,0.004225352112676056
60,AH Doosje met cranberries,1.99,60.0,0.1,12.0,0.4,0.79,0.006666666666666667
61,CêlaVíta Krokant kruidenkorstje knoflook kruiden,1.99,126.0,3.6,20.3,2.1,0.44000000000000006,0.016666666666666666
62,Hak Worteltjes extra fijn,2.09,32.0,0.3,5.2,0.7,0.49000000000000005,0.021875
63,AH Biologisch Vijgen,6.99,290.0,,57.0,3.5,1.3900000000000001,0.01206896551724138
64,Aarts Asperges,3.25,14.0,,1.4,1.4,1.08,0.09999999999999999
65,AH Doperwten,1.19,64.0,,6.4,4.8,0.29,0.075
67,AH Yoghurt smoothie peer aardbei framb avoc,2.49,54.0,0.5,10.0,2.1,0.49000000000000005,0.03888888888888889
68,AH Verse smoothie kokos ananas kurkuma,1.89,57.0,0.4,11.0,2.1,0.75,0.0368421052631579
69,AH Biologisch Kurkuma,1.49,338.0,9.9,44.0,7.8,1.86,0.023076923076923075
70,AH Biologisch Moerbeien,2.59,345.0,,73.0,,1.72,
71,Hak Bruine bonen uit zeeland,1.35,109.0,0.7,15.6,,1.0,
72,Drogheria Knoflook,2.79,,,,,5.58,
73,AH Pureersoep tomaat pastinaak,2.84,38.0,1.2,4.8,,0.67,
74,Hak Bruine bonen 0%,1.99,110.0,0.7,15.9,6.1,0.54,0.05545454545454545
75,Hak Gesneden bladspinazie,2.19,25.0,0.9,0.7,2.9,0.45,0.11599999999999999
76,AH Ananas appel druif,4.0,55.0,0.2,12.0,0.5,0.72,0.00909090909090909
77,AH Kleine salade zoete aardappel curry,3.99,125.0,7.7,8.6,4.3,1.3699999999999999,0.0344
78,AH Luxe wokgroente Japans,3.49,,,,,0.8699999999999999,
79,Innocent Orange juice smooth,2.09,35.0,0.5,7.8,0.7,0.32999999999999996,0.02
80,AH Limoen munt dressing met kikkererwten,1.99,215.0,14.0,16.0,3.9,1.24,0.01813953488372093
81,AH Biologisch Pompoen,2.99,15.0,0.2,,0.7,0.85,0.04666666666666666
82,Vita Coco 1liter,3.29,18.0,,4.5,,0.32,
83,AH Aardappelpartjes kleinverpakking,0.69,87.0,0.3,18.0,,0.33999999999999997,
84,AH Italiaanse kruiden dressing witte bonen,1.99,165.0,9.3,14.0,3.8,1.24,0.02303030303030303
85,AH Balsamicodressing met zwarte bonen,1.99,222.0,12.0,20.0,6.6,1.24,0.029729729729729728
86,Iglo Spinazie met alpro,2.15,52.0,3.3,1.5,3.1,0.47000000000000003,0.05961538461538462
87,Hak Rode bieten schijven zoetzuur,2.29,38.0,0.1,7.2,0.9,0.32,0.02368421052631579
88,AH Vijgen,3.59,298.0,0.9,64.0,3.5,1.4300000000000002,0.01174496644295302
89,AH Haricot verts,1.35,26.0,0.3,2.9,1.6,0.39,0.06153846153846154
90,AH Vers groentesap komkommer,2.29,18.0,,3.6,0.7,0.45,0.03888888888888889
91,Oatly! Haverspread tomaat & basilicum,1.99,224.0,19.0,9.7,,1.3199999999999998,
92,AH Biologisch Bananenchips,2.69,535.0,33.0,54.0,,1.0699999999999998,
93,AH Vers groentesap spinazie avocado appel,1.89,56.0,3.9,,0.6,0.75,0.010714285714285714
94,AH Rawit pepers rood & groen,1.59,30.0,0.3,4.2,1.8,3.18,0.060000000000000005
95,AH Vers groentesap rode biet appel,1.89,40.0,,9.6,0.3,0.75,0.0075
97,AH Hollandse bruine bonen,0.69,104.0,1.1,14.0,6.2,0.33999999999999997,0.05961538461538462
98,Hak Rode kool met stukjes appel,1.59,48.0,,10.2,0.7,0.8800000000000001,0.014583333333333332
100,Innocent Mild ginger shot,1.57,32.0,,7.7,,2.25,
101,Hak Kidneybonen,1.99,114.0,0.7,13.9,8.3,0.82,0.07280701754385965
102,AH Kruidenzuurkool,0.75,13.0,,,,0.15,
103,Bonduelle Haricots verts extra fijn,2.29,28.0,0.2,3.5,1.6,1.04,0.05714285714285715
106,AH Stoommaaltijd tortellini formaggio XL,4.89,,,,,1.1300000000000001,
107,Bonduelle Kikkererwten 2 mini's voor salades,1.99,120.0,2.2,14.7,6.4,1.53,0.05333333333333334
108,Bonduelle Rode kidneybonen 2 mini's,1.99,108.0,0.6,13.9,7.7,1.65,0.0712962962962963
109,AH Onion rings,1.15,524.0,29.0,57.0,7.5,0.9199999999999999,0.01431297709923664
111,Del Monte Ananasblokjes op sap,1.29,63.0,,14.0,0.4,0.9199999999999999,0.006349206349206349
112,AH Rabarbercompote,1.45,54.0,0.2,11.0,0.5,0.42000000000000004,0.009259259259259259
113,CoolBest Passionfruit Heaven,3.19,49.0,,10.9,0.4,0.21000000000000002,0.00816326530612245
114,AH Ovengroente bloemkool gele peen rode ui,3.19,31.0,0.2,4.7,1.3,0.53,0.041935483870967745
116,Bonduelle Doperwtjes extra fijn,1.89,70.0,0.9,6.9,5.5,0.67,0.07857142857142857
118,Hak Uit de oven couscous sperziebonen,2.99,78.0,2.4,10.4,2.3,0.54,0.029487179487179487
119,Bonduelle Groenten voor soep courgette & erwt,2.99,34.0,0.4,,2.1,0.49000000000000005,0.061764705882352944
120,Hak Kikkererwten,2.35,138.0,,15.9,7.6,1.09,0.05507246376811594
121,AH Bloemkoolrisotto,2.49,33.0,0.3,3.8,2.5,0.62,0.07575757575757576
122,AH Roodfruitmix,3.69,30.0,0.03,,0.7,1.6,0.02333333333333333
123,AH Blanke rozijnen,3.29,290.0,0.4,69.0,,0.65,
124,AH Friet aardappelen,4.99,88.0,,19.0,,0.16,
125,AH Biologisch Gebroken sperziebonen,1.29,26.0,0.3,2.9,1.6,0.35,0.06153846153846154
126,AH Kleine salade bloemkoolrijst falafel,2.89,95.0,6.2,5.8,2.6,1.46,0.02736842105263158
127,AH Smoothie aardbei banaan appel,3.69,52.0,,12.0,0.5,0.36,0.009615384615384616
128,Del Monte Halve perziken op sap,2.89,53.0,,12.0,0.4,0.61,0.007547169811320755
129,Calvé Salademix kruiden knoflook,1.35,413.0,44.0,3.7,0.5,5.62,0.0012106537530266344
130,AH Rode bieten,1.29,31.0,0.1,5.6,0.9,0.37,0.02903225806451613
131,No Fairytales Tomaten tortilla,2.69,250.0,4.2,43.1,9.3,1.34,0.037200000000000004
132,Bonduelle Rode bietenblokjes 2 mini's voor salades,1.85,36.0,0.3,5.8,1.5,1.15,0.041666666666666664
133,AH Stoom aardappel iets kruimig,1.49,88.0,,19.0,,0.29,
134,AH Biologisch Wijnzuurkool,0.99,15.0,,1.5,,0.19,
135,Iglo Biologische spinazie à la crème,1.99,55.0,2.6,3.3,3.7,0.44000000000000006,0.06727272727272728
136,AH Biologisch Dadels,4.99,284.0,0.3,62.0,2.4,0.99,0.008450704225352112
139,Innocent Super smoothie Energise,2.65,52.0,,12.0,0.6,0.5,0.011538461538461537
140,CêlaVíta Mini kriel rozemarijn olijf,1.29,98.0,1.4,17.9,2.2,0.44000000000000006,0.022448979591836737
141,AH Doosje met bessen bramen,2.19,52.0,0.4,8.6,,0.8699999999999999,
142,AH Gourmande aardappelen,2.99,88.0,,19.0,,0.19,
143,AH Stoom rode krieltjes vastkokend,1.89,88.0,,19.0,,0.37,
144,CoolBest Brilliant blood orange,2.65,43.0,,9.8,0.4,0.26,0.009302325581395349
145,AH Groentesalade pompoen kokos,3.99,77.0,4.3,6.2,,1.3699999999999999,
146,AH Salade green genius,3.19,103.0,,10.0,3.7,1.59,0.03592233009708738
147,AH Kleine salade tabouleh hummus,3.69,105.0,7.3,5.9,2.7,1.53,0.025714285714285717
148,AH Pruimen gedroogd,2.49,250.0,0.3,56.0,2.4,1.31,0.0096
149,AH Paddenstoelenmix met paprika,2.39,31.0,0.2,4.4,2.2,1.19,0.07096774193548387
151,AH Italiaanse pompoenrisotto verspakket,4.99,104.0,3.6,12.0,5.4,0.37,0.051923076923076926
152,Fairtrade Original Ananas stukjes op eigen sap,1.99,51.0,,13.0,,1.4,
156,AH Biologisch Appelchips,2.49,355.0,0.7,79.0,1.5,3.3200000000000003,0.004225352112676056
157,AH Biologisch Rode bieten blokjes,1.75,30.0,0.1,4.6,1.2,0.8699999999999999,0.04
159,Snaqs Seaweed Crisps Seasalt,2.49,384.0,7.1,68.4,10.9,6.220000000000001,0.028385416666666666
160,AH Verse aardbei braam blauwe bes,2.39,30.0,0.03,,0.7,1.83,0.02333333333333333
162,AH Witte bonen,1.29,88.0,0.6,11.0,6.4,0.24,0.07272727272727274
163,AH Biologisch Bio Witte bonen in tomatensaus,2.05,94.0,0.5,15.0,,0.5599999999999999,
164,AH Biologisch Rode kool met appel deelblokjes,1.15,49.0,0.2,9.7,,0.25,
165,Valle del sole Popcorn mais,1.99,374.0,,71.0,11.0,0.22000000000000003,0.029411764705882353
166,AH Gestoofde peertjes op lichte siroop,1.69,62.0,,14.0,0.5,0.96,0.008064516129032258
168,"AH Verse ananas, kiwi en druif",2.5,62.0,0.4,13.0,0.6,1.06,0.00967741935483871
169,Beemster Garlic Knoflook puree,1.99,275.0,19.4,23.2,4.4,2.84,0.016
170,AH Aardappel ovenschaal spek en ui,2.69,118.0,3.9,17.0,2.6,0.5900000000000001,0.022033898305084745
171,AH Gesneden verspakket mac n cheese,4.49,122.0,6.5,10.0,4.9,0.8300000000000001,0.04016393442622951
173,AH Aardappel ovenschaal groene kruiden,2.69,119.0,4.4,17.0,,0.5900000000000001,
174,Healthy People Care cranberry,2.05,45.0,0.3,,0.6,3.41,0.013333333333333332
175,AH Sperziebonen gebroken,0.65,27.0,0.2,3.9,1.7,0.65,0.06296296296296296
176,Bonduelle Snijboontjes,0.95,19.0,0.1,2.5,1.1,0.9,0.05789473684210527
177,AH Groentesalade zongedroogd tomaat courget,3.99,110.0,7.4,7.2,,1.35,
178,Innocent Hot ginger shot,1.64,41.0,0.5,9.9,0.5,2.35,0.012195121951219513
179,AH Gesneden verspakket mexicaanse wrap,5.99,138.0,3.2,17.0,9.1,0.64,0.06594202898550725
180,Aarts Gestoofde peertjes,2.59,66.0,,15.0,0.5,0.9199999999999999,0.007575757575757576
181,AH Biologisch Bladspinazie  la crme deelblokjes,1.69,46.0,2.3,2.9,2.5,0.37,0.05434782608695652
182,AH Gesneden verspakket Griekse pita gyros,5.99,135.0,5.3,11.0,9.4,0.75,0.06962962962962964
183,Hak Curry korma,2.99,81.0,2.2,10.9,3.3,0.54,0.04074074074074074
184,AH Biologisch Gesneden shiitake,2.79,46.0,0.5,6.8,2.2,1.86,0.04782608695652174
185,Hak Rode bieten sticks zoetzuur,1.89,38.0,0.1,7.2,0.9,0.53,0.02368421052631579
187,AH Excellent Rouges,2.19,88.0,,19.0,,0.21000000000000002,
190,AH Mexicaanse chilischotel,3.79,94.0,1.8,15.0,3.1,0.74,0.03297872340425532
191,AH Gekookte wijnzuurkool,0.99,48.0,2.5,2.5,,0.19,
193,AH Kleine kastanjechampignons,1.99,29.0,0.1,4.3,2.5,1.1300000000000001,0.08620689655172414
194,AH Aardbeien,3.39,25.0,,5.1,0.7,1.47,0.027999999999999997
195,Bieze Rauwkost komkommer,1.79,92.0,6.5,6.5,,0.71,
196,Hak Doperwtjes extra fijn,1.45,69.0,,11.0,,1.1099999999999999,
197,CoolBest Smoothie Mango Passie,1.99,50.0,,10.2,0.6,0.6,0.012
198,CoolBest Pearfect,2.29,55.0,0.09,12.7,0.21,0.22000000000000003,0.0038181818181818182
199,Paturain Knoflook fijne kruiden,3.99,348.0,34.5,2.3,,1.59,
200,AH Luxe wokgroente Chinees,3.49,23.0,0.3,2.3,1.6,0.8699999999999999,0.06956521739130435
201,CêlaVíta Wokjes zwarte knoflook,1.79,97.0,1.3,18.0,2.2,0.39,0.022680412371134023
202,AH Groente voor Chinese zwarte bonenschotel,3.99,112.0,2.2,18.0,3.7,0.78,0.033035714285714286
203,AH Vers sap sinas-ananas kiwi,2.29,35.0,,,0.5,0.45,0.014285714285714285
205,AH Aardappel ovenschaal knoflook rozemarijn,2.69,109.0,2.7,18.0,2.1,0.5900000000000001,0.01926605504587156
206,Healthy People Reload blauwe bes & framboos,2.05,45.0,0.4,9.5,0.8,3.41,0.017777777777777778
207,AH Zongerijpt mango ananas passievrucht,3.0,51.0,0.3,10.0,0.9,0.9,0.01764705882352941
208,Innocent Super smoothie Antioxidant,2.65,58.0,,13.0,0.8,0.5,0.013793103448275864
209,Hak Rode Bieten met Ui,1.75,38.0,0.1,7.3,0.9,0.49000000000000005,0.02368421052631579
210,AH Gesneden verspakket quinoa,5.99,110.0,6.6,8.3,3.5,1.0,0.031818181818181815
211,AH Misticanza salade,2.19,24.0,0.3,1.4,2.8,2.19,0.11666666666666665
212,AH Pepermix,1.59,30.0,0.3,4.2,1.8,2.12,0.060000000000000005
213,Innocent Orange juice with bits,1.99,36.0,0.5,7.8,0.8,0.31,0.022222222222222223
215,AH Salie,1.19,64.0,1.5,8.3,1.5,7.93,0.0234375
216,AH Volkoren bulgur met gele wortel,2.99,86.0,1.1,14.0,3.3,0.74,0.03837209302325581
217,Healthy People Energy gember appel & citroen,2.05,47.0,0.6,9.8,0.9,3.41,0.019148936170212766
218,AH Ovengroente prei peen kastanjechampignon,3.59,30.0,0.2,4.3,1.5,0.5900000000000001,0.05
219,AH Pastasalade pittige kip,3.89,138.0,6.1,14.0,6.3,1.1099999999999999,0.04565217391304348
220,Iglo Rode kool met appeltjes,1.69,56.0,1.2,9.5,0.9,0.37,0.016071428571428573
222,AH Uienmix,1.45,37.0,0.2,6.1,1.3,1.16,0.03513513513513514
223,AH Vers sap braam zwarte bes,2.29,51.0,,12.0,0.5,0.45,0.00980392156862745
224,AH Wortelen,0.69,23.0,0.2,,0.5,0.5700000000000001,0.021739130434782608
225,Bonduelle Groenten voor soep pompoen & wortel,2.99,40.0,0.4,,,0.49000000000000005,
226,AH Vers sap appel peer framboos,3.49,43.0,,10.0,0.3,0.33999999999999997,0.0069767441860465115
227,AH Pitloze kersen op siroop,1.29,65.0,,15.0,,0.36,
228,Bonduelle Sugar snaps,2.59,48.0,0.3,7.4,2.3,0.86,0.04791666666666666
229,Hak Doperwtjes zeer fijn 1-2 open up,2.79,69.0,,11.0,,0.61,
231,Bonduelle Witte bonen in tomatensaus,1.09,94.0,0.7,13.5,5.4,0.54,0.057446808510638304
232,Ardo Broccolimix,2.59,32.0,0.7,,2.2,0.25,0.06875
233,AH Salade erbij botersla,3.39,77.0,5.7,,2.8,1.25,0.03636363636363636
234,AH Biologisch Stoom krieltjes vastkokend,1.89,88.0,,19.0,,0.37,
