web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665128269-75","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Twister noot/rozijn","https://www.ah.nl/producten/product/wi230749/ah-twister-noot-rozijn","1.15","1127 kJ (290 kcal)","Vet4.3 g","Koolhydraten47.9 g","null","Eiwitten7.6 g"
"1665128271-76","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH American cookie triple choc","https://www.ah.nl/producten/product/wi230748/ah-american-cookie-triple-choc","1.50","null","null","null","null","null"
"1665128273-77","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Mini appeltaart","https://www.ah.nl/producten/product/wi230746/ah-mini-appeltaart","1.29","1240 kJ (295 kcal)","Vet14 g","Koolhydraten40 g","null","Eiwitten3 g"
"1665128275-78","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Mokkagebakjes","https://www.ah.nl/producten/product/wi230743/ah-mokkagebakjes","3.50","2028 kJ (486 kcal)","Vet29 g","Koolhydraten54 g","null","Eiwitten1.9 g"
"1665128278-79","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Rb croissant chocolade praline","https://www.ah.nl/producten/product/wi230740/ah-rb-croissant-chocolade-praline","0.99","1590 kJ (380 kcal)","Vet20 g","Koolhydraten43 g","null","Eiwitten6 g"
"1665128280-80","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Koffiebroodje","https://www.ah.nl/producten/product/wi230738/ah-koffiebroodje","0.55","1336 kJ (318 kcal)","Vet11 g","Koolhydraten47 g","null","Eiwitten6.4 g"
"1665128283-81","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Gedecoreerde donuts","https://www.ah.nl/producten/product/wi230737/ah-gedecoreerde-donuts","0.75","1816 kJ (435 kcal)","Vet27 g","Koolhydraten40 g","null","Eiwitten7.1 g"
"1665128285-82","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Ah zeeuwse bolus","https://www.ah.nl/producten/product/wi230736/ah-ah-zeeuwse-bolus","1.69","1152 kJ (272 kcal)","Vet2.5 g","Koolhydraten56 g","null","Eiwitten5.8 g"
"1665128287-83","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Kaiserbroodjes wit naturel","https://www.ah.nl/producten/product/wi230734/ah-kaiserbroodjes-wit-naturel","0.25","1074 kJ (253 kcal)","Vet0.9 g","Koolhydraten52 g","null","Eiwitten8 g"
"1665128290-84","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Gesuikerde donuts","https://www.ah.nl/producten/product/wi230733/ah-gesuikerde-donuts","0.45","1860 kJ (445 kcal)","Vet26 g","Koolhydraten46 g","null","Eiwitten6.4 g"
