web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665117908-171","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Rio Mare Insalatissime tuna salad linzen","https://www.ah.nl/producten/product/wi514125/rio-mare-insalatissime-tuna-salad-linzen","5.35","207 kcal (862 kJ)","Vet13 g","Koolhydraten10 g","Normale prijs per KG € 33,44","Eiwitten11 g"
"1665117910-172","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Fish Tales Gerookte mosselen in olie","https://www.ah.nl/producten/product/wi508465/fish-tales-gerookte-mosselen-in-olie","2.54","995 kJ (229 kcal)","Vet13 g","Koolhydraten4.1 g","Normale prijs per KG € 16,95","Eiwitten24 g"
"1665117912-173","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Smaakt Tempeh","https://www.ah.nl/producten/product/wi469676/smaakt-tempeh","3.89","800 kJ (191 kcal)","Vet8 g","Koolhydraten11 g","Prijs per KG € 9,73","Eiwitten17 g"
"1665117914-174","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Onze boeren carre","https://www.ah.nl/producten/product/wi459818/ah-onze-boeren-carre","3.29","1070 kJ (258 kcal)","Vet20 g","Koolhydraten3.2 g","Prijs per KG € 10,97","Eiwitten16 g"
"1665117917-175","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Excellent Ultimate beef burger 4-pack","https://www.ah.nl/producten/product/wi520390/ah-excellent-ultimate-beef-burger-4-pack","7.96","null","null","null","null","null"
"1665117919-176","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Crispy chicken wings","https://www.ah.nl/producten/product/wi517091/ah-crispy-chicken-wings","2.99","1167 kJ (280 kcal)","Vet19 g","Koolhydraten15 g","Prijs per KG € 8,54","Eiwitten11 g"
"1665117921-177","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","John West Twist tonijn panang curry","https://www.ah.nl/producten/product/wi514195/john-west-twist-tonijn-panang-curry","2.99","663 kJ (158 kcal)","Vet7.6 g","Koolhydraten8.8 g","Prijs per KG € 35,18","Eiwitten13 g"
"1665117923-178","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","John West Twist tonijn groene curry","https://www.ah.nl/producten/product/wi514194/john-west-twist-tonijn-groene-curry","2.99","613 kJ (146 kcal)","Vet6.8 g","Koolhydraten6.6 g","Prijs per KG € 35,18","Eiwitten1.4 g"
"1665117926-179","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","John West Zalm twist citroen tijm","https://www.ah.nl/producten/product/wi496462/john-west-zalm-twist-citroen-tijm","2.99","591 kJ (141 kcal)","Vet7.5 g","Koolhydraten0 g","Prijs per KG € 35,18","Eiwitten18 g"
"1665117928-180","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Morjon Pilchards in tomatensaus","https://www.ah.nl/producten/product/wi368686/morjon-pilchards-in-tomatensaus","3.69","552 kJ (132 kcal)","Vet7.8 g","Koolhydraten3.3 g","Prijs per KG € 17,08","Eiwitten12 g"
